Date,Ticker,Ticker_Weights,Ticker_Price
2022-03-07,CICN,0.03842135345071136,0.0099999997764825
2022-08-01,CICN,0.00676356214842315,0.0099999997764825
2023-04-03,OPUS,0.03436957676364737,0.1500000059604644
2024-09-09,SECO,0.017350109758826462,9.999999747378752e-05
2023-08-07,LEON,0.020868628768789668,0.0218000002205371
2023-09-11,LEON,0.030984330178379704,0.0218000002205371
2022-10-03,VIVE,0.011747269521187067,0.6890000104904175
2023-02-06,KWE,0.0212416943650766,28.5
2024-05-06,SILO,0.029974258477397108,1.75
2023-02-06,ANDR,0.016546938768528637,0.0240000002086162
2024-12-02,ANDR,0.018345879624514585,9.999999747378752e-05
2023-06-05,VRAYQ,0.03352045046779011,0.6305000185966492
2024-08-05,SBSAA,0.008189892642545082,0.3499999940395355
2022-07-11,ROTH,0.010882124964377033,9.999999747378752e-05
2022-12-05,ROTH,0.01716428750033596,0.00089999998454
2024-02-05,MTC,0.03270896778251725,1.4199999570846558
2024-07-01,PERT,0.02354435254216051,0.0010000000474974
2022-08-01,SPWRQ,0.0253540750890201,19.82999992370605
2023-01-09,SPWRQ,0.007721864122602728,16.81999969482422
2023-02-06,TPIA,0.013813331951973115,0.1668999940156936
2024-05-06,TPIA,0.0269738317876732,0.0460000000894069
2022-05-02,FER,0.029380202398372076,24.799999237060547
2024-11-04,FER,0.0072299455236765845,39.119998931884766
2024-07-01,SLNO,0.01358264603355016,42.290000915527344
2024-08-05,SLNO,0.012822485159583166,45.290000915527344
2022-05-02,SMMT,0.016351773203785464,1.440000057220459
2022-12-05,SSOF,0.003806986893076288,0.001700000022538
2023-02-06,FRCB,0.006568392510211724,142.27000427246094
2024-01-08,FRCB,0.03429107735762584,0.050000000745058
2024-02-05,FRCB,0.013318834112363464,0.0700000002980232
2024-10-07,FRCB,0.02144872642173597,0.0099999997764825
2022-12-05,AZREF,0.02633838822194895,5.03000020980835
2024-01-08,AZREF,0.034719955059865505,1.25
2023-04-03,PIK,0.020850611555963187,0.6610000133514404
2022-10-03,INOD,0.006981615364718685,3.259999990463257
2022-02-07,WAVE,0.014485760886263892,6.71999979019165
2024-07-01,WAVE,0.03665450743708018,2.8399999141693115
2023-02-06,MDGL,0.008045110951468757,276.4800109863281
2023-11-06,MSTR,0.02000926150841767,45.9630012512207
2022-09-12,SMCI,0.009788744298923204,6.665999889373779
2023-04-03,SMCI,0.025571282105951,11.272000312805176
2023-11-06,JANX,0.031607736281380694,6.25
2024-04-01,JANX,0.027751440156719792,37.68999862670898
2022-03-07,PROP,0.023312180992942046,50.29411697387695
2022-07-11,ADMA,0.004762892372507869,2.240000009536743
2023-05-01,ADMA,0.03027398027588442,3.4200000762939453
2024-03-04,ADMA,0.022531910828637723,5.71999979019165
2022-05-02,MOD,0.017456325145316733,8.170000076293945
2022-10-03,MOD,0.03534485762124913,13.4399995803833
2024-12-02,MOD,0.018970195493214423,137.74000549316406
2023-10-02,RYTM,0.004667770666378993,22.100000381469727
2022-09-12,POWL,0.013289401350712089,23.90999984741211
2024-01-08,POWL,0.027158623432136937,80.48999786376953
2024-06-03,EDN,0.033198497039206576,17.260000228881836
2023-04-03,ARDX,0.019333595031908374,4.71999979019165
2024-03-04,EQTL,0.021332858820428707,1.600000023841858
2024-04-01,OMER,0.029306966172169078,3.190000057220459
2024-07-01,OMER,0.011237687216953098,3.950000047683716
2023-07-03,CLS,0.013813879259685352,14.56999969482422
2022-07-11,CVNA,0.01085820475582052,22.09000015258789
2024-04-01,CVNA,0.00581562739694362,86.79000091552734
2024-05-06,CVNA,0.015552286239574194,122.97000122070312
2023-02-06,BMA,0.027176338964074728,20.8799991607666
2024-04-01,BMA,0.013788443755377269,49.13999938964844
2024-03-04,TGS,0.007274238288176852,13.619999885559082
2023-08-07,NUVL,0.016862241268659036,44.619998931884766
2024-02-05,FNMA,0.004472076844775372,1.309999942779541
2022-09-12,DIGI,0.018782113820781265,0.0074999998323619
2023-05-01,HROW,0.005939244771833355,25.86000061035156
2022-08-01,STRL,0.024945901199622856,26.01000022888184
2024-02-05,STRL,0.02664791508360275,76.12000274658203
2023-08-07,VRT,0.03189948628156557,35.720001220703125
2024-08-05,FMCC,0.03588278767719237,1.0
2022-07-11,BELFA,0.013299145655102977,22.86000061035156
2023-11-06,BELFA,0.015997580682995637,50.95000076293945
2022-03-07,APP,0.023042232540522806,47.33000183105469
2022-08-01,APP,0.018413066524726386,34.16999816894531
2024-12-02,APP,0.010136693088167243,340.5899963378906
2022-12-05,PLTR,0.019786151600069163,7.190000057220459
2024-01-08,AVDL,0.009237724494997776,16.15999984741211
2022-08-01,HIMS,0.02383211886842333,6.230000019073486
2022-10-03,ANF,0.01543434611057601,15.670000076293944
2024-09-09,ANF,0.02934142303674839,133.25999450683594
2022-06-06,AMSC,0.029173800361227263,6.03000020980835
2023-03-06,NVDA,0.01682496389486511,23.554000854492188
2022-03-07,PLSE,0.007344583141816381,4.619999885559082
2022-10-03,PLSE,0.009752352041267495,2.2100000381469727
2023-06-05,PLSE,0.03453851209165043,6.170000076293945
2023-07-03,PLSE,0.004815978837044201,6.650000095367432
2023-12-04,PLSE,0.0075671017291098,10.270000457763672
2024-11-04,PLSE,0.03101387170745352,15.1899995803833
2024-08-05,CNR,0.03384851093107046,89.16999816894531
2023-07-03,TGTX,0.01200060983934787,22.75
2024-09-09,TGTX,0.026493820508046426,23.75
2023-08-07,ALST,0.028616855726874495,0.0006000000284984
2023-07-03,SEI,0.013053304354087058,8.4399995803833
