Date de Scoring,Identifiant Bloomberg Company,ISSUER_EQUITY_TICKER,Nom de l'émetteur,Identifiant sous industrie GICS,Groupe Industrie GICS,Pays,Score ESG brut
2 avr. 2025,8253039,064760 KS,TOKAI CARBON KOREA Co. Ltd.,45301010,Semiconductors & Semiconductor Equipment,KR,6.295286427
2 avr. 2025,825514,VITR SS,Vitrolife AB,35201010,"Pharmaceuticals, Biotechnology & Life Sciences",SE,13.62273176
2 avr. 2025,8256466,333549Z RO,,,,,11.10491841
2 avr. 2025,825796,HFG LN,Hilton Food Group Plc,30202030,"Food, Beverage & Tobacco",GB,11.38464151
2 avr. 2025,8259059,0555934D LX,,,,,9.422811264
2 avr. 2025,8260071,2475 JP,WDB Holdings Co. Ltd.,20202010,Commercial & Professional Services,JP,3.216658558
2 avr. 2025,8261155,SNB AB,Saudi National Bank,40101010,Banks,SA,7.122566951
2 avr. 2025,8261643,2782 JP,Seria Co. Ltd.,25503010,Retailing,JP,3.761682744
2 avr. 2025,8262106,8957 JP,TOKYU REIT Inc.,60101010,Real Estate,JP,12.655602
2 avr. 2025,8262174,3918 HK,NagaCorp Ltd.,25301010,Consumer Services,KH,10.89162698
2 avr. 2025,8263079,IGG LN,IG Group Holdings plc,40203020,Diversified Financials,GB,5.413622482
2 avr. 2025,8263587,0296173D AV,,,,,11.59187846
2 avr. 2025,8264679,IIFL IN,IIFL Finance Ltd,40202010,Diversified Financials,IN,7.583365346
2 avr. 2025,8265251,3485054Z CN,Arrow Lakes Power Corp.,55105020,Utilities,CA,4.352362006
2 avr. 2025,8266139,NOTE SS,Note AB,45203020,Technology Hardware & Equipment,SE,13.11361858
2 avr. 2025,8266650,8377 JP,Hokuhoku Financial Group Inc.,40101015,Banks,JP,7.08463559
2 avr. 2025,8267255,8958 JP,Global One Real Estate Investment Corp,60101040,Real Estate,JP,9.104445591
2 avr. 2025,8267666,074600 KS,Wonik QnC Corp.,45203015,Technology Hardware & Equipment,KR,3.323796544
2 avr. 2025,8268147,FRW NZ,Freightways Group Ltd,20301010,Transportation,NZ,9.88664836
2 avr. 2025,8269842,2784 JP,Alfresa Holdings Corp.,35102010,Healthcare Equipment & Services,JP,8.222147692
2 avr. 2025,8269854,1721 JP,COMSYS Holdings Corp.,20103010,Capital Goods,JP,6.460856581
2 avr. 2025,8269862,6268 JP,Nabtesco Corp.,20106020,Capital Goods,JP,16.28953668
2 avr. 2025,8270154,ARA SP,ARA Asset Management Ltd.,40203010,Diversified Financials,SG,14.5900234
2 avr. 2025,8270678,1720 JP,Tokyu Construction Co. Ltd.,20103010,Capital Goods,JP,12.28514892
2 avr. 2025,8271650,CALTX SS,Calliditas Therapeutics AB,35202010,"Pharmaceuticals, Biotechnology & Life Sciences",SE,6.870111007
2 avr. 2025,8271706,1229167Z LN,Derby Healthcare Plc,35102015,Healthcare Equipment & Services,GB,5.395292208
2 avr. 2025,8272507,CPALL TB,CP All Public Co. Ltd.,30101030,Food & Staples Retailing,TH,15.14472847
2 avr. 2025,8273527,241863Z DC,,,,,10.27230655
2 avr. 2025,8273947,CR CN,Crew Energy Inc.,10102020,Energy,CA,8.502790742
2 avr. 2025,8274014,ARU AU,Arafura Rare Earths Ltd,15104020,Materials,AU,8.29564707
2 avr. 2025,8274518,BTE CN,Baytex Energy Corp.,10102020,Energy,CA,9.100912669
2 avr. 2025,827460,1262Z LX,,,,,12.96339738
